filename,original_filename,label,generic_name,generic_name_source,source,original_split,has_dosage_flag,quality_flag,drop_reason
ds2_train_P1121.jpg,P1121.jpg,uliv,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1142.jpg,P1142.jpg,vigfimef,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1144.jpg,P1144.jpg,noswua,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1151.jpg,P1151.jpg,noswvc,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1154.jpg,P1154.jpg,neelufh,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1161.jpg,P1161.jpg,uriset,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1166.jpg,P1166.jpg,vigfimet,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1171.jpg,P1171.jpg,vildamet,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1173.jpg,P1173.jpg,feeviu,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1176.jpg,P1176.jpg,halconf,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1194.jpg,P1194.jpg,fevaliv,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1215.jpg,P1215.jpg,vigorex,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1217.jpg,P1217.jpg,nislofs,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1222.jpg,P1222.jpg,neclufe,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1233.jpg,P1233.jpg,ribojovef,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1234.jpg,P1234.jpg,uliv150,,unknown,ds2,train,True,needs_review,needs_review
ds2_train_P1238.jpg,P1238.jpg,xinc,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1278.jpg,P1278.jpg,mirata,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1287.jpg,P1287.jpg,m-lucas,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1320.jpg,P1320.jpg,replastw,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1332.jpg,P1332.jpg,m-lucas,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1339.jpg,P1339.jpg,replastw,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1344.jpg,P1344.jpg,replastw,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1380.jpg,P1380.jpg,mirata,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1410.jpg,P1410.jpg,relenten,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1428.jpg,P1428.jpg,replastw,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1432.jpg,P1432.jpg,rofnp,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1441.jpg,P1441.jpg,vildamef,,unknown,ds2,train,False,needs_review,needs_review
ds2_train_P1456.jpg,P1456.jpg,fpeimcore,,unknown,ds2,train,False,needs_review,needs_review
