filename,original_filename,label,generic_name,generic_name_source,source,original_split,has_dosage_flag,quality_flag
ds1_train_783.png,783.png,Conaz,Fluconazole,source,ds1,train,False,ok
ds1_val_632.png,632.png,Progut,Esomeprazole,source,ds1,val,False,ok
ds2_train_P4279.jpg,P4279.jpg,Tablet,,unknown,ds2,train,False,ok
ds1_train_1833.png,1833.png,M-Kast,Montelukast Sodium,source,ds1,train,False,ok
ds1_train_376.png,376.png,Bacaid,Baclofen,source,ds1,train,False,ok
ds1_val_217.png,217.png,Denixil,Clonazepam,source,ds1,val,False,ok
ds1_train_572.png,572.png,Beklo,Baclofen,source,ds1,train,False,ok
ds2_train_P1718.jpg,P1718.jpg,cap. Esprazo,,unknown,ds2,train,False,ok
ds2_test_P0767.jpg,P0767.jpg,Gerhinal,,unknown,ds2,test,False,ok
ds1_train_1712.png,1712.png,Leptic,Clonazepam,source,ds1,train,False,ok
ds1_train_961.png,961.png,Disopan,Clonazepam,source,ds1,train,False,ok
ds1_train_1756.png,1756.png,Lucan-R,Fluconazole,source,ds1,train,False,ok
ds2_train_P1542.jpg,P1542.jpg,Cildip 10,,unknown,ds2,train,True,ok
ds2_train_P2406.jpg,P2406.jpg,Esipram,,unknown,ds2,train,False,ok
ds2_train_P2538.jpg,P2538.jpg,Flayd,,unknown,ds2,train,False,ok
ds1_test_22.png,22.png,Alatrol,Cetirizine Hydrochloride,source,ds1,test,False,ok
ds2_train_P1825.jpg,P1825.jpg,Prnzofress,,unknown,ds2,train,False,ok
ds1_train_349.png,349.png,Az,Azithromycin Dihydrate,source,ds1,train,False,ok
ds2_train_P3082.jpg,P3082.jpg,Neuro-B,,unknown,ds2,train,False,ok
ds2_train_P4249.jpg,P4249.jpg,Tablet,,unknown,ds2,train,False,ok
ds1_train_2244.png,2244.png,Nexcap,Esomeprazole,source,ds1,train,False,ok
ds2_train_P3432.jpg,P3432.jpg,Actrapid,,unknown,ds2,train,False,ok
ds2_train_P1326.jpg,P1326.jpg,Greenox,,unknown,ds2,train,False,ok
ds2_train_P4139.jpg,P4139.jpg,Tablet,,unknown,ds2,train,False,ok
ds1_train_2135.png,2135.png,Montex,Montelukast Sodium,source,ds1,train,False,ok
ds2_train_P2717.jpg,P2717.jpg,Nexe,,unknown,ds2,train,False,ok
